"","filecoverage","totalcoverage"
"R/absDS.R",100,24.64
"R/asCharacterDS.R",66.67,24.64
"R/asDataMatrixDS.R",66.67,24.64
"R/asFactorDS1.R",66.67,24.64
"R/asFactorDS2.R",100,24.64
"R/asIntegerDS.R",66.67,24.64
"R/asListDS.R",81.82,24.64
"R/asLogicalDS.R",100,24.64
"R/asMatrixDS.R",66.67,24.64
"R/asNumericDS.R",66.67,24.64
"R/BooleDS.R",74.42,24.64
"R/boxPlotGG_data_Treatment_numericDS.R",0,24.64
"R/boxPlotGG_data_TreatmentDS.R",0,24.64
"R/boxPlotGGDS.R",0,24.64
"R/cbindDS.R",76.47,24.64
"R/cDS.R",62.5,24.64
"R/changeRefGroupDS.R",100,24.64
"R/checkNegValueDS.R",100,24.64
"R/classDS.R",100,24.64
"R/colnamesDS.R",100,24.64
"R/completeCasesDS.R",72.73,24.64
"R/corDS.R",81.82,24.64
"R/corTestDS.R",100,24.64
"R/covDS.R",59.57,24.64
"R/dataFrameDS.R",62.96,24.64
"R/dataFrameFillDS.R",93.33,24.64
"R/dataFrameSortDS.R",77.14,24.64
"R/dataFrameSubsetDS1.R",0,24.64
"R/dataFrameSubsetDS2.R",0,24.64
"R/densityGridDS.R",0,24.64
"R/dimDS.R",100,24.64
"R/extract.R",100,24.64
"R/getWGSRDS.R",79.75,24.64
"R/glmDS1.R",0,24.64
"R/glmDS2.R",0,24.64
"R/glmerSLMADS.assign.R",0,24.64
"R/glmerSLMADS2.R",0,24.64
"R/glmPredictDS.ag.R",0,24.64
"R/glmPredictDS.as.R",0,24.64
"R/glmSLMADS.assign.R",0,24.64
"R/glmSLMADS1.R",0,24.64
"R/glmSLMADS2.R",0,24.64
"R/glmSummaryDS.ag.R",0,24.64
"R/glmSummaryDS.as.R",0,24.64
"R/heatmapPlotDS.R",0,24.64
"R/histogramDS1.R",0,24.64
"R/histogramDS2.R",0,24.64
"R/isNaDS.R",100,24.64
"R/isValidDS.R",64.71,24.64
"R/kurtosisDS1.R",85,24.64
"R/kurtosisDS2.R",76.92,24.64
"R/lengthDS.R",100,24.64
"R/levelsDS.R",75,24.64
"R/lexisDS1.R",0,24.64
"R/lexisDS2.R",0,24.64
"R/lexisDS3.R",0,24.64
"R/listDisclosureSettingsDS.R",100,24.64
"R/listDS.R",100,24.64
"R/lmerSLMADS.assign.R",0,24.64
"R/lmerSLMADS2.R",0,24.64
"R/lsDS.R",84.62,24.64
"R/matrixDetDS1.R",0,24.64
"R/matrixDetDS2.R",0,24.64
"R/matrixDiagDS.R",0,24.64
"R/matrixDimnamesDS.R",0,24.64
"R/matrixDS.R",0,24.64
"R/matrixInvertDS.R",0,24.64
"R/matrixMultDS.R",0,24.64
"R/matrixTransposeDS.R",0,24.64
"R/meanDS.R",83.33,24.64
"R/meanSdGpDS.R",0,24.64
"R/mergeDS.R",0,24.64
"R/messageDS.R",100,24.64
"R/namesDS.R",70.59,24.64
"R/numNaDS.R",100,24.64
"R/quantileMeanDS.R",87.5,24.64
"R/rangeDS.R",81.82,24.64
"R/rbindDS.R",100,24.64
"R/rBinomDS.R",100,24.64
"R/recodeLevelsDS.R",80,24.64
"R/recodeValuesDS.R",43.66,24.64
"R/repDS.R",0,24.64
"R/replaceNaDS.R",83.33,24.64
"R/reShapeDS.R",0,24.64
"R/rmDS.R",89.47,24.64
"R/rNormDS.R",100,24.64
"R/rowColCalcDS.R",78.57,24.64
"R/rPoisDS.R",100,24.64
"R/rUnifDS.R",100,24.64
"R/sampleDS.R",65.83,24.64
"R/scatterPlotDS.R",0,24.64
"R/seqDS.R",58,24.64
"R/setFilterDS.R",100,24.64
"R/setSeedDS.R",100,24.64
"R/skewnessDS1.R",85,24.64
"R/skewnessDS2.R",71.43,24.64
"R/sqrtDS.R",100,24.64
"R/subsetByClassDS.R",95.45,24.64
"R/subsetByClassHelper1.R",61.9,24.64
"R/subsetByClassHelper2.R",67.74,24.64
"R/subsetByClassHelper3.R",63.33,24.64
"R/subsetDS.R",38.46,24.64
"R/table1DDS.R",0,24.64
"R/table2DDS.R",0,24.64
"R/tableDS.assign.R",0,24.64
"R/tableDS.R",0,24.64
"R/tableDS2.R",0,24.64
"R/tapplyDS.assign.R",27.12,24.64
"R/tapplyDS.R",59.38,24.64
"R/testObjExistsDS.R",100,24.64
"R/unListDS.R",66.67,24.64
"R/varDS.R",73.33,24.64
