"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,49.13
"R/colPercent.R",100,49.13
"R/ds.asCharacter.R",70.59,49.13
"R/ds.asDataMatrix.R",70.59,49.13
"R/ds.asFactor.R",78.72,49.13
"R/ds.asInteger.R",70.59,49.13
"R/ds.asList.R",100,49.13
"R/ds.asLogical.R",70.59,49.13
"R/ds.asMatrix.R",70.59,49.13
"R/ds.asNumeric.R",70.59,49.13
"R/ds.assign.R",100,49.13
"R/ds.Boole.R",71.43,49.13
"R/ds.cbind.R",74.11,49.13
"R/ds.changeRefGroup.R",0,49.13
"R/ds.class.R",100,49.13
"R/ds.colnames.R",90.91,49.13
"R/ds.contourPlot.R",0,49.13
"R/ds.cor.R",96.26,49.13
"R/ds.corTest.R",0,49.13
"R/ds.cov.R",89.87,49.13
"R/ds.c.R",94.44,49.13
"R/ds.dataframe.R",71.43,49.13
"R/ds.dataFrameSort.R",66.67,49.13
"R/ds.dataFrameSubset.R",62.64,49.13
"R/ds.densityGrid.R",0,49.13
"R/ds.dim.R",97.44,49.13
"R/ds.exists.R",100,49.13
"R/ds.exp.R",88.89,49.13
"R/ds.gee.R",0,49.13
"R/ds.glm.R",6.09,49.13
"R/ds.glmSLMA.R",11.19,49.13
"R/ds.heatmapPlot.R",0,49.13
"R/ds.histogram.R",0,49.13
"R/ds.isNA.R",83.33,49.13
"R/ds.isValid.R",93.75,49.13
"R/ds.length.R",97.37,49.13
"R/ds.levels.R",0,49.13
"R/ds.listClientsideFunctions.R",0,49.13
"R/ds.listDisclosureSettings.R",100,49.13
"R/ds.listOpals.R",0,49.13
"R/ds.list.R",90,49.13
"R/ds.listServersideFunctions.R",0,49.13
"R/ds.log.R",84.21,49.13
"R/ds.look.R",100,49.13
"R/ds.ls.R",100,49.13
"R/ds.make.R",68.75,49.13
"R/ds.matrixDet.R",70.91,49.13
"R/ds.matrixDet.report.R",100,49.13
"R/ds.matrixDiag.R",68.75,49.13
"R/ds.matrixDimnames.R",70.59,49.13
"R/ds.matrixInvert.R",70.59,49.13
"R/ds.matrixMult.R",69.81,49.13
"R/ds.matrix.R",67.69,49.13
"R/ds.matrixTranspose.R",70.59,49.13
"R/ds.meanByClass.R",0,49.13
"R/ds.mean.R",96.43,49.13
"R/ds.meanSdGp.R",89.38,49.13
"R/ds.merge.R",75.38,49.13
"R/ds.message.R",100,49.13
"R/ds.names.R",72.73,49.13
"R/ds.numNA.R",0,49.13
"R/ds.quantileMean.R",100,49.13
"R/ds.rbind.R",66.36,49.13
"R/ds.rBinom.R",66.98,49.13
"R/ds.recodeLevels.R",0,49.13
"R/ds.recodeValues.R",70.59,49.13
"R/ds.replaceNA.R",0,49.13
"R/ds.reShape.R",70,49.13
"R/ds.rm.R",100,49.13
"R/ds.rNorm.R",66.35,49.13
"R/ds.rowColCalc.R",91.89,49.13
"R/ds.rPois.R",67.35,49.13
"R/ds.rUnif.R",66.35,49.13
"R/ds.scatterPlot.R",0,49.13
"R/ds.seq.R",74.03,49.13
"R/ds.setDefaultOpals.R",0,49.13
"R/ds.setSeed.R",87.5,49.13
"R/ds.subsetByClass.R",0,49.13
"R/ds.subset.R",31.82,49.13
"R/ds.summary.R",70.24,49.13
"R/ds.table1D.R",100,49.13
"R/ds.table2D.R",82.56,49.13
"R/ds.tapply.assign.R",21.31,49.13
"R/ds.tapply.R",76.47,49.13
"R/ds.testObjExists.R",47.92,49.13
"R/ds.unList.R",100,49.13
"R/ds.var.R",98.25,49.13
"R/ds.vectorCalc.R",0,49.13
"R/extract.R",100,49.13
"R/findLoginObjects.R",33.33,49.13
"R/geeChecks.R",0,49.13
"R/geehelper1.R",0,49.13
"R/geehelper2.R",0,49.13
"R/getOpals.R",54.29,49.13
"R/getPooledMean.R",0,49.13
"R/getPooledVar.R",0,49.13
"R/glmChecks.R",0,49.13
"R/isAssigned.R",71.43,49.13
"R/isDefined.R",88.89,49.13
"R/lexisHelper1.R",0,49.13
"R/logical2int.R",0,49.13
"R/meanByClassHelper0a.R",0,49.13
"R/meanByClassHelper0b.R",0,49.13
"R/meanByClassHelper1.R",0,49.13
"R/meanByClassHelper2.R",0,49.13
"R/meanByClassHelper3.R",0,49.13
"R/meanByClassHelper4.R",0,49.13
"R/rowPercent.R",100,49.13
"R/subsetHelper.R",77.78,49.13
