"","filecoverage","totalcoverage"
"R/checkClass.R",66.67,54.41
"R/colPercent.R",100,54.41
"R/ds.asCharacter.R",70.59,54.41
"R/ds.asDataMatrix.R",70.59,54.41
"R/ds.asFactor.R",78.72,54.41
"R/ds.asInteger.R",70.59,54.41
"R/ds.asList.R",100,54.41
"R/ds.asLogical.R",70.59,54.41
"R/ds.asMatrix.R",70.59,54.41
"R/ds.asNumeric.R",70.59,54.41
"R/ds.assign.R",100,54.41
"R/ds.Boole.R",71.43,54.41
"R/ds.cbind.R",74.11,54.41
"R/ds.changeRefGroup.R",0,54.41
"R/ds.class.R",100,54.41
"R/ds.colnames.R",90.91,54.41
"R/ds.contourPlot.R",0,54.41
"R/ds.cor.R",96.26,54.41
"R/ds.corTest.R",0,54.41
"R/ds.cov.R",89.87,54.41
"R/ds.c.R",94.44,54.41
"R/ds.dataframe.R",71.43,54.41
"R/ds.dataFrameSort.R",66.67,54.41
"R/ds.dataFrameSubset.R",62.64,54.41
"R/ds.densityGrid.R",0,54.41
"R/ds.dim.R",97.44,54.41
"R/ds.exists.R",100,54.41
"R/ds.exp.R",88.89,54.41
"R/ds.gee.R",0,54.41
"R/ds.glm.R",61.22,54.41
"R/ds.glmSLMA.R",70.54,54.41
"R/ds.heatmapPlot.R",0,54.41
"R/ds.histogram.R",0,54.41
"R/ds.isNA.R",83.33,54.41
"R/ds.isValid.R",93.75,54.41
"R/ds.length.R",97.37,54.41
"R/ds.levels.R",0,54.41
"R/ds.listClientsideFunctions.R",0,54.41
"R/ds.listDisclosureSettings.R",100,54.41
"R/ds.listOpals.R",0,54.41
"R/ds.list.R",90,54.41
"R/ds.listServersideFunctions.R",0,54.41
"R/ds.log.R",84.21,54.41
"R/ds.look.R",100,54.41
"R/ds.ls.R",100,54.41
"R/ds.make.R",68.75,54.41
"R/ds.matrixDet.R",70.91,54.41
"R/ds.matrixDet.report.R",100,54.41
"R/ds.matrixDiag.R",68.75,54.41
"R/ds.matrixDimnames.R",70.59,54.41
"R/ds.matrixInvert.R",70.59,54.41
"R/ds.matrixMult.R",69.81,54.41
"R/ds.matrix.R",67.69,54.41
"R/ds.matrixTranspose.R",70.59,54.41
"R/ds.meanByClass.R",0,54.41
"R/ds.mean.R",96.43,54.41
"R/ds.meanSdGp.R",89.38,54.41
"R/ds.merge.R",75.38,54.41
"R/ds.message.R",100,54.41
"R/ds.names.R",72.73,54.41
"R/ds.numNA.R",0,54.41
"R/ds.quantileMean.R",100,54.41
"R/ds.rbind.R",66.36,54.41
"R/ds.rBinom.R",66.98,54.41
"R/ds.recodeLevels.R",0,54.41
"R/ds.recodeValues.R",70.59,54.41
"R/ds.replaceNA.R",0,54.41
"R/ds.reShape.R",70,54.41
"R/ds.rm.R",100,54.41
"R/ds.rNorm.R",66.35,54.41
"R/ds.rowColCalc.R",91.89,54.41
"R/ds.rPois.R",67.35,54.41
"R/ds.rUnif.R",66.35,54.41
"R/ds.scatterPlot.R",0,54.41
"R/ds.seq.R",74.03,54.41
"R/ds.setDefaultOpals.R",0,54.41
"R/ds.setSeed.R",87.5,54.41
"R/ds.subsetByClass.R",0,54.41
"R/ds.subset.R",31.82,54.41
"R/ds.summary.R",70.24,54.41
"R/ds.table1D.R",100,54.41
"R/ds.table2D.R",82.56,54.41
"R/ds.tapply.assign.R",21.31,54.41
"R/ds.tapply.R",76.47,54.41
"R/ds.testObjExists.R",47.92,54.41
"R/ds.unList.R",100,54.41
"R/ds.var.R",98.25,54.41
"R/ds.vectorCalc.R",0,54.41
"R/extract.R",100,54.41
"R/findLoginObjects.R",33.33,54.41
"R/geeChecks.R",0,54.41
"R/geehelper1.R",0,54.41
"R/geehelper2.R",0,54.41
"R/getOpals.R",54.29,54.41
"R/getPooledMean.R",0,54.41
"R/getPooledVar.R",0,54.41
"R/glmChecks.R",0,54.41
"R/isAssigned.R",71.43,54.41
"R/isDefined.R",88.89,54.41
"R/lexisHelper1.R",0,54.41
"R/logical2int.R",0,54.41
"R/meanByClassHelper0a.R",0,54.41
"R/meanByClassHelper0b.R",0,54.41
"R/meanByClassHelper1.R",0,54.41
"R/meanByClassHelper2.R",0,54.41
"R/meanByClassHelper3.R",0,54.41
"R/meanByClassHelper4.R",0,54.41
"R/rowPercent.R",100,54.41
"R/subsetHelper.R",77.78,54.41
